game_id,created_by,home_team_id,away_team_id,home_score,away_score
140,,1,3,3,8
141,,1,3,4,3
172,,2,3,6,0
173,,2,3,2,11
174,,2,3,1,6
327,,4,3,4,6
328,,4,3,3,7
329,,4,3,3,9
361,,4,3,9,4
362,,4,3,5,10
363,,4,3,4,5
364,,4,3,6,5
379,,4,3,3,2
380,,4,3,3,4
390,,4,3,1,4
405,,5,3,4,0
406,,5,3,9,2
407,,5,3,1,7
438,,5,3,5,4
439,,5,3,9,2
440,,5,3,3,5
478,,5,3,2,8
479,,5,3,2,8
480,,5,3,1,6
513,,6,3,5,1
514,,6,3,3,1
515,,6,3,1,4
583,,7,3,6,7
584,,7,3,1,5
585,,7,3,11,3
586,,7,3,3,4
587,,7,3,5,1
624,,7,3,4,6
625,,7,3,7,6
626,,7,3,8,6
627,,7,3,6,5
631,,7,3,13,12
655,,8,3,1,4
656,,8,3,20,5
657,,8,3,3,4
694,,8,3,1,3
695,,8,3,6,3
696,,8,3,4,6
697,,8,3,5,4
727,,8,3,3,2
728,,8,3,0,10
729,,8,3,1,2
748,,9,3,5,0
749,,9,3,4,5
750,,9,3,3,4
878,,10,3,11,6
879,,10,3,9,11
880,,10,3,5,10
881,,10,3,3,1
954,,11,3,4,5
955,,11,3,10,4
956,,11,3,1,2
1000,,12,3,2,0
1001,,12,3,6,0
1002,,12,3,12,1
1103,,13,3,3,5
1104,,13,3,7,4
1105,,13,3,1,9
1106,,13,3,3,5
1156,,14,3,1,4
1157,,14,3,11,7
1158,,14,3,7,2
1387,,17,3,7,5
1388,,17,3,2,7
1590,,19,3,4,3
1591,,19,3,1,0
2181,,26,3,5,2
2182,,26,3,3,4
2183,,26,3,8,12
2225,,27,3,6,0
2226,,27,3,4,3
2227,,27,3,1,0
47,,0,20,8,0
48,,0,20,6,12
267,,3,20,9,5
268,,3,20,7,3
269,,3,20,5,0
628,,7,20,4,11
629,,7,20,1,2
630,,7,20,1,4
653,,8,20,5,4
654,,8,20,1,14
1224,,15,20,2,1
1225,,15,20,1,7
1226,,15,20,9,8
1238,,15,20,4,1
1239,,15,20,5,6
1240,,15,20,1,2
1241,,15,20,5,2
1286,,15,20,6,5
1287,,15,20,5,6
1288,,15,20,1,4
1334,,16,20,4,5
1335,,16,20,2,3
1336,,16,20,4,0
1389,,17,20,5,0
1390,,17,20,10,1
1391,,17,20,8,1
1490,,18,20,2,4
1491,,18,20,10,1
1492,,18,20,2,4
1539,,19,20,7,2
1540,,19,20,2,7
1541,,19,20,13,1
1577,,19,20,7,2
1578,,19,20,7,8
1579,,19,20,0,6
1592,,19,20,3,9
1593,,19,20,3,5
1594,,19,20,4,7
1595,,19,20,6,5
1759,,21,20,8,4
